3,2022-02-28--2022-03-07
180,2022-03-07--2022-03-14
178,2022-03-14--2022-03-21
270,2022-03-21--2022-03-28
622,2022-03-28--2022-04-04
481,2022-04-04--2022-04-11
403,2022-04-11--2022-04-18
524,2022-04-18--2022-04-25
607,2022-04-25--2022-05-02
544,2022-05-02--2022-05-09
607,2022-05-09--2022-05-16
9,2022-05-16--2022-05-23
9,2022-05-23--2022-05-30
7,2022-05-30--2022-06-06
6,2022-06-06--2022-06-13
80,2022-06-13--2022-06-20
10,2022-06-20--2022-06-27
283,2022-06-27--2022-07-04
282,2022-07-04--2022-07-11
8,2022-07-11--2022-07-18
282,2022-07-18--2022-07-25
8,2022-07-25--2022-08-01
4,2022-08-01--2022-08-08
4,2022-08-08--2022-08-15
10,2022-08-15--2022-08-22
300,2022-08-22--2022-08-29
238,2022-08-29--2022-09-05
40,2022-09-05--2022-09-12
87,2022-09-12--2022-09-19
50,2022-09-19--2022-09-26
197,2022-09-26--2022-10-03
993,2022-10-03--2022-10-10
2900,2022-10-10--2022-10-17
2440,2022-10-17--2022-10-24
3780,2022-10-24--2022-10-31
