Date,Just Stop Oil,Climate Change,Fossil Fuels,Net Zero
2022-03-01,0,36,10,7
2022-03-02,0,36,3,7
2022-03-03,0,28,7,6
2022-03-04,0,21,6,6
2022-03-05,0,17,4,3
2022-03-06,0,27,9,39
2022-03-07,0,23,14,17
2022-03-08,0,38,17,14
2022-03-09,0,26,12,14
2022-03-10,0,31,20,8
2022-03-11,0,23,11,10
2022-03-12,0,29,5,6
2022-03-13,0,16,14,8
2022-03-14,0,17,11,14
2022-03-15,0,24,12,6
2022-03-16,0,24,13,7
2022-03-17,7,18,5,8
2022-03-18,2,14,8,9
2022-03-19,0,13,8,5
2022-03-20,0,23,3,7
2022-03-21,5,30,11,4
2022-03-22,0,25,6,12
2022-03-23,0,23,7,8
2022-03-24,0,21,10,8
2022-03-25,0,16,12,3
2022-03-26,0,14,3,5
2022-03-27,0,19,6,0
2022-03-28,0,22,6,5
2022-03-29,0,29,6,11
2022-03-30,0,24,5,5
2022-03-31,0,46,10,11
2022-04-01,6,28,11,7
2022-04-02,0,18,7,10
2022-04-03,0,27,17,10
2022-04-04,0,47,12,11
2022-04-05,0,43,17,5
2022-04-06,0,28,17,11
2022-04-07,0,44,19,9
2022-04-08,0,31,9,7
2022-04-09,0,25,9,6
2022-04-10,0,27,14,3
2022-04-11,0,31,5,0
2022-04-12,2,34,20,5
2022-04-13,3,25,10,2
2022-04-14,0,34,6,5
2022-04-15,0,24,4,5
2022-04-16,0,26,6,2
2022-04-17,0,25,10,0
2022-04-18,0,25,3,2
2022-04-19,0,20,7,6
2022-04-20,0,20,3,4
2022-04-21,0,38,8,8
2022-04-22,0,62,10,9
2022-04-23,0,33,7,4
2022-04-24,0,29,3,4
2022-04-25,0,34,6,7
2022-04-26,0,29,3,0
2022-04-27,0,26,9,5
2022-04-28,0,30,9,5
2022-04-29,0,32,12,7
2022-04-30,0,25,4,0
2022-05-01,0,25,5,5
2022-05-02,0,17,4,3
2022-05-03,0,27,4,7
2022-05-04,0,34,7,12
2022-05-05,0,34,8,10
2022-05-06,0,27,6,7
2022-05-07,0,32,4,8
2022-05-08,0,27,3,0
2022-05-09,0,26,4,5
2022-05-10,0,21,7,7
2022-05-11,0,31,4,3
2022-05-12,0,50,8,6
2022-05-13,0,31,10,5
2022-05-14,0,27,11,0
2022-05-15,0,17,5,6
2022-05-16,0,32,6,6
2022-05-17,0,37,12,12
2022-05-18,0,30,7,7
2022-05-19,0,40,10,8
2022-05-20,0,52,4,7
2022-05-21,0,31,6,6
2022-05-22,0,40,10,4
2022-05-23,0,43,10,8
2022-05-24,0,46,13,10
2022-05-25,0,43,7,8
2022-05-26,0,30,10,16
2022-05-27,0,40,9,4
2022-05-28,0,19,2,2
2022-05-29,0,24,4,4
2022-05-30,0,30,3,14
2022-05-31,0,28,11,7
2022-06-01,0,37,11,6
2022-06-02,0,31,8,5
2022-06-03,0,28,7,5
2022-06-04,0,23,9,3
2022-06-05,0,44,3,5
2022-06-06,0,42,5,10
2022-06-07,0,42,6,32
2022-06-08,0,40,12,11
2022-06-09,0,45,6,10
2022-06-10,0,31,4,7
2022-06-11,0,36,4,6
2022-06-12,0,24,9,0
2022-06-13,0,28,7,11
2022-06-14,0,48,19,8
2022-06-15,0,56,7,11
2022-06-16,0,74,10,14
2022-06-17,0,75,13,7
2022-06-18,0,44,7,6
2022-06-19,0,33,7,4
2022-06-20,0,35,8,7
2022-06-21,0,54,7,19
2022-06-22,0,37,10,13
2022-06-23,0,44,5,9
2022-06-24,0,34,4,15
2022-06-25,0,27,4,7
2022-06-26,0,21,5,6
2022-06-27,0,58,8,14
2022-06-28,0,43,14,15
2022-06-29,0,47,3,19
2022-06-30,3,55,6,11
2022-07-01,0,47,7,6
2022-07-02,0,28,8,2
2022-07-03,4,45,4,6
2022-07-04,5,51,7,5
2022-07-05,5,56,6,5
2022-07-06,0,45,9,15
2022-07-07,0,54,5,18
2022-07-08,0,45,10,16
2022-07-09,0,52,8,28
2022-07-10,0,37,9,33
2022-07-11,0,76,6,32
2022-07-12,0,68,9,32
2022-07-13,0,55,5,30
2022-07-14,0,71,7,22
2022-07-15,0,122,18,40
2022-07-16,0,127,15,30
2022-07-17,0,177,21,45
2022-07-18,0,266,21,60
2022-07-19,0,361,23,59
2022-07-20,2,244,26,33
2022-07-21,0,121,12,14
2022-07-22,0,105,5,13
2022-07-23,3,73,11,7
2022-07-24,0,69,2,8
2022-07-25,0,116,9,16
2022-07-26,0,84,11,9
2022-07-27,0,82,10,14
2022-07-28,2,66,11,20
2022-07-29,0,76,13,6
2022-07-30,0,56,9,8
2022-07-31,0,45,5,5
2022-08-01,0,49,6,9
2022-08-02,0,47,15,19
2022-08-03,0,48,5,23
2022-08-04,0,39,12,13
2022-08-05,0,55,9,6
2022-08-06,0,49,8,4
2022-08-07,0,51,7,4
2022-08-08,0,66,13,7
2022-08-09,0,50,9,21
2022-08-10,0,62,14,11
2022-08-11,0,105,13,28
2022-08-12,0,96,18,15
2022-08-13,0,66,12,12
2022-08-14,0,65,13,16
2022-08-15,0,68,12,12
2022-08-16,0,61,10,18
2022-08-17,0,54,15,8
2022-08-18,0,38,8,17
2022-08-19,0,49,6,14
2022-08-20,0,50,6,10
2022-08-21,0,27,9,5
2022-08-22,0,72,5,10
2022-08-23,0,55,22,11
2022-08-24,2,38,12,15
2022-08-25,0,45,13,22
2022-08-26,7,57,26,25
2022-08-27,4,53,22,13
2022-08-28,0,63,26,29
2022-08-29,0,51,14,19
2022-08-30,0,92,23,15
2022-08-31,0,66,18,14
2022-09-01,2,50,18,13
2022-09-02,0,54,13,18
2022-09-03,0,52,8,26
2022-09-04,0,50,7,15
2022-09-05,0,48,13,21
2022-09-06,0,90,13,17
2022-09-07,0,89,16,28
2022-09-08,0,66,37,32
2022-09-09,0,51,10,8
2022-09-10,0,44,10,3
2022-09-11,0,50,7,9
2022-09-12,0,43,4,6
2022-09-13,2,59,10,9
2022-09-14,0,46,17,11
2022-09-15,0,49,16,4
2022-09-16,2,49,8,6
2022-09-17,3,30,6,8
2022-09-18,0,38,9,6
2022-09-19,0,30,9,13
2022-09-20,0,50,15,20
2022-09-21,0,46,14,13
2022-09-22,0,45,20,19
2022-09-23,0,37,13,8
2022-09-24,2,44,6,11
2022-09-25,0,42,22,17
2022-09-26,0,31,16,21
2022-09-27,0,51,16,29
2022-09-28,0,47,16,17
2022-09-29,0,53,17,24
2022-09-30,0,55,5,12
2022-10-01,4,53,12,10
2022-10-02,2,86,8,9
2022-10-03,0,50,7,14
2022-10-04,0,47,9,18
2022-10-05,2,56,16,21
2022-10-06,2,56,16,26
2022-10-07,2,55,23,25
2022-10-08,0,39,11,14
2022-10-09,7,45,11,12
2022-10-10,5,41,24,26
2022-10-11,3,43,15,18
2022-10-12,8,41,13,11
2022-10-13,7,62,14,24
2022-10-14,73,91,11,15
2022-10-15,30,88,11,10
2022-10-16,11,82,20,22
2022-10-17,24,85,18,25
2022-10-18,35,93,36,36
2022-10-19,15,77,21,20
2022-10-20,18,64,16,27
2022-10-21,7,47,7,13
2022-10-22,9,39,10,21
2022-10-23,3,51,11,13
2022-10-24,23,46,19,12
2022-10-25,16,60,12,19
2022-10-26,15,80,20,15
2022-10-27,25,163,25,15
2022-10-28,17,222,32,24
2022-10-29,11,121,11,20
2022-10-30,169,864,301,199
2022-10-31,690,2304,331,584
2022-11-01,401,1931,325,526
2022-11-02,285,2736,428,812
2022-11-03,159,2291,387,596
2022-11-04,117,2214,357,571
2022-11-05,152,1540,292,360
2022-11-06,112,2293,458,418
